Ticker,EventDate,CAR_Window,CAR,Surprise,EPS_Estimate,Reported_EPS
AAPL,2025-01-30 16:31:00,1,-0.029304992935722092,0.0215,2.35,2.4
AAPL,2025-01-30 16:31:00,2,-0.01321878157566635,0.0215,2.35,2.4
AAPL,2025-01-30 16:31:00,5,-0.035081598807963355,0.0215,2.35,2.4
AAPL,2025-01-30 16:31:00,10,0.027676004179884747,0.0215,2.35,2.4
AAPL,2025-01-30 16:31:00,30,0.02583949892894728,0.0215,2.35,2.4
AAPL,2024-10-31 16:31:00,1,-0.0011043065895503788,0.0235,1.6,1.64
AAPL,2024-10-31 16:31:00,2,-0.00702242140684986,0.0235,1.6,1.64
AAPL,2024-10-31 16:31:00,5,-0.027000131493107295,0.0235,1.6,1.64
AAPL,2024-10-31 16:31:00,10,-0.013729503114989598,0.0235,1.6,1.64
AAPL,2024-10-31 16:31:00,30,0.029828522783400303,0.0235,1.6,1.64
AAPL,2024-08-01 16:30:00,1,-0.012368016694761223,0.039900000000000005,1.35,1.4
AAPL,2024-08-01 16:30:00,2,-0.03785881151563628,0.039900000000000005,1.35,1.4
AAPL,2024-08-01 16:30:00,5,-0.02805333077233371,0.039900000000000005,1.35,1.4
AAPL,2024-08-01 16:30:00,10,-0.04442957702104986,0.039900000000000005,1.35,1.4
AAPL,2024-08-01 16:30:00,30,-0.08157683030774965,0.039900000000000005,1.35,1.4
AAPL,2024-05-02 16:31:00,1,-0.016476570001972456,0.0197,1.5,1.53
AAPL,2024-05-02 16:31:00,2,-0.012210720576350764,0.0197,1.5,1.53
AAPL,2024-05-02 16:31:00,5,-0.008175942841854723,0.0197,1.5,1.53
AAPL,2024-05-02 16:31:00,10,0.02342208015237565,0.0197,1.5,1.53
AAPL,2024-05-02 16:31:00,30,0.060985946134590435,0.0197,1.5,1.53
AAPL,2024-02-01 16:00:00,1,0.014121897189812532,0.039,2.1,2.18
AAPL,2024-02-01 16:00:00,2,0.021183893455712734,0.039,2.1,2.18
AAPL,2024-02-01 16:00:00,5,0.007288366373233988,0.039,2.1,2.18
AAPL,2024-02-01 16:00:00,10,-0.019086598491687583,0.039,2.1,2.18
AAPL,2024-02-01 16:00:00,30,-0.11457566595877873,0.039,2.1,2.18
AAPL,2023-11-02 16:30:00,1,0.013133973339571135,0.0492,1.39,1.46
AAPL,2023-11-02 16:30:00,2,0.024928845559366294,0.0492,1.39,1.46
AAPL,2023-11-02 16:30:00,5,0.04342329470664215,0.0492,1.39,1.46
AAPL,2023-11-02 16:30:00,10,0.038987995620898566,0.0492,1.39,1.46
AAPL,2023-11-02 16:30:00,30,0.05174506102197731,0.0492,1.39,1.46
AAPL,2023-08-03 16:30:00,1,-0.028264682712566193,0.054900000000000004,1.19,1.26
AAPL,2023-08-03 16:30:00,2,-0.01876586689923978,0.054900000000000004,1.19,1.26
AAPL,2023-08-03 16:30:00,5,-0.021561641961536773,0.054900000000000004,1.19,1.26
AAPL,2023-08-03 16:30:00,10,-0.018986435413498773,0.054900000000000004,1.19,1.26
AAPL,2023-08-03 16:30:00,30,-0.02935926881750909,0.054900000000000004,1.19,1.26
AAPL,2023-05-04 16:30:00,1,-0.0035867566352254018,0.0603,1.43,1.52
AAPL,2023-05-04 16:30:00,2,-0.011050919061253824,0.0603,1.43,1.52
